year,month,day,hour,pm2.5,cbwd,DEWP,TEMP,PRES,Iws,Is,Ir
2010,1,1,0,NA,NW,-21,-11,1021,1.79,0,0
2010,1,1,1,NA,NW,-21,-12,1020,4.92,0,0
2010,1,1,2,NA,NW,-21,-11,1019,6.71,0,0
2010,1,1,3,NA,NW,-21,-14,1019,9.84,0,0
2010,1,1,4,NA,NW,-20,-12,1018,12.97,0,0
2010,1,1,5,NA,NW,-19,-10,1017,16.1,0,0
2010,1,1,6,NA,NW,-19,-9,1017,19.23,0,0
2010,1,1,7,NA,NW,-19,-9,1017,21.02,0,0
2010,1,1,8,NA,NW,-19,-9,1017,24.15,0,0
2010,1,1,9,NA,NW,-20,-8,1017,27.28,0,0
2010,1,1,10,NA,NW,-19,-7,1017,31.3,0,0
2010,1,1,11,NA,NW,-18,-5,1017,34.43,0,0
2010,1,1,12,NA,NW,-19,-5,1015,37.56,0,0
2010,1,1,13,NA,NW,-18,-3,1015,40.69,0,0
2010,1,1,14,NA,NW,-18,-2,1014,43.82,0,0
2010,1,1,15,NA,cv,-18,-1,1014,0.89,0,0
2010,1,1,16,NA,NW,-19,-2,1015,1.79,0,0
2010,1,1,17,NA,NW,-18,-3,1015,2.68,0,0
2010,1,1,18,NA,NE,-18,-5,1016,1.79,0,0
2010,1,1,19,NA,NW,-17,-4,1017,1.79,0,0
2010,1,1,20,NA,cv,-17,-5,1017,0.89,0,0
2010,1,1,21,NA,NW,-17,-5,1018,1.79,0,0
2010,1,1,22,NA,NW,-17,-5,1018,2.68,0,0
2010,1,1,23,NA,cv,-17,-5,1020,0.89,0,0
2010,1,2,0,129,SE,-16,-4,1020,1.79,0,0
2010,1,2,1,148,SE,-15,-4,1020,2.68,0,0
2010,1,2,2,159,SE,-11,-5,1021,3.57,0,0
2010,1,2,3,181,SE,-7,-5,1022,5.36,1,0
2010,1,2,4,138,SE,-7,-5,1022,6.25,2,0
2010,1,2,5,109,SE,-7,-6,1022,7.14,3,0
2010,1,2,6,105,SE,-7,-6,1023,8.93,4,0
2010,1,2,7,124,SE,-7,-5,1024,10.72,0,0
2010,1,2,8,120,SE,-8,-6,1024,12.51,0,0
2010,1,2,9,132,SE,-7,-5,1025,14.3,0,0
2010,1,2,10,140,SE,-7,-5,1026,17.43,1,0
2010,1,2,11,152,SE,-8,-5,1026,20.56,0,0
2010,1,2,12,148,SE,-8,-5,1026,23.69,0,0
2010,1,2,13,164,SE,-8,-5,1025,27.71,0,0
2010,1,2,14,158,SE,-9,-5,1025,31.73,0,0
2010,1,2,15,154,SE,-9,-5,1025,35.75,0,0
2010,1,2,16,159,SE,-9,-5,1026,37.54,0,0
2010,1,2,17,164,SE,-8,-5,1027,39.33,0,0
2010,1,2,18,170,SE,-8,-5,1027,42.46,0,0
2010,1,2,19,149,SE,-8,-5,1028,44.25,0,0
2010,1,2,20,154,SE,-7,-5,1028,46.04,0,0
2010,1,2,21,164,SE,-7,-5,1027,49.17,1,0
2010,1,2,22,156,SE,-8,-6,1028,52.3,2,0
2010,1,2,23,126,SE,-8,-6,1027,55.43,3,0
2010,1,3,0,90,SE,-7,-6,1027,58.56,4,0
2010,1,3,1,63,SE,-8,-6,1026,61.69,5,0
2010,1,3,2,65,SE,-8,-7,1026,65.71,6,0
2010,1,3,3,55,SE,-8,-7,1025,68.84,7,0
2010,1,3,4,65,SE,-8,-7,1024,72.86,8,0
2010,1,3,5,83,SE,-9,-8,1024,76.88,9,0
2010,1,3,6,91,SE,-10,-8,1024,80.9,10,0
2010,1,3,7,86,SE,-10,-9,1024,84.92,11,0
2010,1,3,8,82,SE,-10,-9,1024,89.84,12,0
2010,1,3,9,86,SE,-11,-9,1023,93.86,13,0
2010,1,3,10,78,SE,-11,-9,1023,97.88,15,0
2010,1,3,11,98,SE,-11,-9,1022,102.8,16,0
2010,1,3,12,107,SE,-11,-9,1021,105.93,17,0
2010,1,3,13,90,SE,-11,-9,1020,111.74,19,0
2010,1,3,14,96,SE,-11,-9,1020,116.66,20,0
2010,1,3,15,95,SE,-11,-9,1020,121.58,21,0
2010,1,3,16,86,SE,-11,-9,1020,124.71,22,0
2010,1,3,17,70,SE,-11,-9,1020,127.84,23,0
2010,1,3,18,61,cv,-11,-9,1021,0.89,24,0
2010,1,3,19,53,cv,-11,-9,1022,1.78,25,0
2010,1,3,20,71,NW,-10,-9,1022,4.02,26,0
2010,1,3,21,72,NW,-11,-10,1023,7.15,27,0
2010,1,3,22,76,NW,-11,-9,1023,11.17,0,0
2010,1,3,23,73,NW,-12,-11,1023,14.3,0,0
2010,1,4,0,79,NW,-14,-12,1023,16.09,0,0
2010,1,4,1,58,NW,-16,-9,1023,21.9,0,0
2010,1,4,2,25,NW,-17,-10,1024,29.95,0,0
2010,1,4,3,26,NW,-18,-11,1024,39.78,0,0
2010,1,4,4,28,NW,-19,-11,1025,48.72,0,0
2010,1,4,5,26,NW,-20,-12,1026,55.87,0,0
2010,1,4,6,20,NW,-21,-12,1027,64.81,0,0
2010,1,4,7,29,NW,-21,-13,1027,73.75,0,0
2010,1,4,8,26,NW,-22,-13,1028,80.9,0,0
2010,1,4,9,27,NW,-22,-13,1029,90.73,0,0
2010,1,4,10,27,NW,-22,-12,1030,100.56,0,0
2010,1,4,11,25,NW,-23,-12,1031,108.61,0,0
2010,1,4,12,29,NW,-21,-11,1030,117.55,0,0
2010,1,4,13,32,NW,-20,-10,1030,127.38,0,0
2010,1,4,14,28,NW,-21,-10,1030,136.32,0,0
2010,1,4,15,29,NW,-21,-9,1030,145.26,0,0
2010,1,4,16,30,NW,-21,-9,1031,152.41,0,0
2010,1,4,17,30,NW,-20,-11,1032,159.56,0,0
2010,1,4,18,28,NW,-23,-11,1032,165.37,0,0
2010,1,4,19,26,NW,-21,-12,1033,171.18,0,0
2010,1,4,20,31,NW,-24,-12,1034,180.12,0,0
2010,1,4,21,33,NW,-24,-13,1034,187.27,0,0
2010,1,4,22,29,NW,-24,-13,1035,195.32,0,0
2010,1,4,23,31,NW,-26,-15,1035,198.45,0,0
2010,1,5,0,30,NW,-26,-17,1035,201.58,0,0
2010,1,5,1,34,NW,-26,-18,1035,205.6,0,0
2010,1,5,2,27,NW,-26,-19,1035,208.73,0,0
2010,1,5,3,25,NW,-27,-18,1035,213.65,0,0
2010,1,5,4,28,NW,-27,-19,1035,218.57,0,0
2010,1,5,5,28,NE,-27,-16,1034,4.92,0,0
2010,1,5,6,27,NE,-26,-16,1035,8.05,0,0
2010,1,5,7,27,NE,-27,-16,1034,13.86,0,0
2010,1,5,8,27,NE,-26,-16,1035,18.78,0,0
2010,1,5,9,29,NE,-26,-15,1035,24.59,0,0
2010,1,5,10,36,NE,-25,-14,1035,29.51,0,0
2010,1,5,11,30,NE,-25,-13,1035,34.43,0,0
2010,1,5,12,27,NE,-25,-12,1034,39.35,0,0
2010,1,5,13,39,NE,-24,-11,1032,41.14,0,0
2010,1,5,14,41,cv,-22,-11,1032,0.89,0,0
2010,1,5,15,33,NW,-23,-11,1031,1.79,0,0
2010,1,5,16,50,NW,-24,-11,1031,3.58,0,0
2010,1,5,17,56,NW,-23,-11,1031,5.37,0,0
2010,1,5,18,59,NW,-23,-11,1032,7.16,0,0
2010,1,5,19,60,NW,-22,-13,1033,10.29,0,0
2010,1,5,20,84,NW,-22,-12,1033,13.42,0,0
2010,1,5,21,106,NW,-24,-18,1033,16.55,0,0
2010,1,5,22,66,NW,-22,-13,1034,20.57,0,0
2010,1,5,23,50,NW,-22,-16,1033,23.7,0,0
2010,1,6,0,56,NW,-25,-17,1033,26.83,0,0
2010,1,6,1,77,NE,-25,-14,1033,4.02,0,0
2010,1,6,2,50,NE,-26,-14,1034,8.04,0,0
2010,1,6,3,44,NE,-26,-14,1033,13.85,0,0
2010,1,6,4,27,NE,-26,-14,1033,17.87,0,0
2010,1,6,5,28,NE,-26,-14,1033,23.68,0,0
2010,1,6,6,21,NE,-26,-14,1033,28.6,0,0
2010,1,6,7,25,NE,-26,-15,1034,33.52,0,0
2010,1,6,8,20,NE,-26,-14,1034,39.33,0,0
2010,1,6,9,29,NE,-25,-13,1035,44.25,0,0
2010,1,6,10,34,NE,-25,-12,1035,50.06,0,0
2010,1,6,11,42,NE,-24,-11,1035,54.98,0,0
2010,1,6,12,28,NE,-24,-10,1034,59,0,0
2010,1,6,13,36,NW,-22,-10,1033,4.02,0,0
2010,1,6,14,48,NW,-22,-9,1033,5.81,0,0
2010,1,6,15,49,cv,-22,-8,1033,0.89,0,0
2010,1,6,16,52,NW,-22,-8,1033,1.79,0,0
2010,1,6,17,56,NW,-21,-9,1033,3.58,0,0
2010,1,6,18,96,NW,-22,-9,1033,5.37,0,0
2010,1,6,19,75,cv,-22,-14,1034,0.89,0,0
2010,1,6,20,105,NW,-22,-12,1035,1.79,0,0
2010,1,6,21,132,NW,-21,-14,1034,3.58,0,0
2010,1,6,22,93,NW,-22,-16,1035,5.37,0,0
2010,1,6,23,131,NW,-21,-16,1035,7.16,0,0
2010,1,7,0,127,NW,-21,-16,1035,8.95,0,0
2010,1,7,1,130,cv,-21,-16,1035,0.45,0,0
2010,1,7,2,43,cv,-22,-18,1036,1.34,0,0
2010,1,7,3,37,NW,-23,-15,1036,4.02,0,0
2010,1,7,4,30,NW,-24,-16,1035,7.15,0,0


